Ranking,Title,IMDB,Rating,Year
21,Broken Arrow,5.8,R,1996
21,Anastasia,6.7,G,1997
21,Antz,6.7,PG,1998
21,Sleepy Hollow,7.5,R,1999
21,Gone in Sixty Seconds,6.0,PG-13,2000
21,Legally Blonde,6.2,PG-13,2001
21,The Bourne Identity,7.7,PG-13,2002
21,The Last Samurai,7.8,R,2003
21,The Aviator,7.6,PG-13,2004
21,Million Dollar Baby,8.2,PG-13,2005
21,Tropic Thunder,7.2,R,2008
21,Taken,7.9,PG-13,2009
21,Alvin and the Chipmunks: Chip-Wrecked,4.0,G,2011
21,Mad Max: Fury Road,8.3,R,2015
21,Ghostbusters,5.4,PG-13,2016
21,Kong: Skull Island,6.8,PG-13,2017
21,Halloween,7.1,R,2018
21,Five Feet Apart,7.1,,2019
22,Problem Child,4.5,PG,1990
22,Honey I Blew Up the Kid,4.3,PG,1992
22,Rookie of the Year,5.4,PG,1993
22,Natural Born Killers,7.1,R,1994
22,Outbreak,6.5,R,1995
22,Executive Decision,6.3,R,1996
22,L.A. Confidential,8.4,R,1997
22,The X Files,6.8,PG-13,1998
22,Shakespeare in Love,7.4,R,1999
22,The Sum of All Fears,6.4,PG-13,2002
22,Freaky Friday,6.5,PG,2003
22,Collateral,7.8,R,2004
22,Flightplan,6.2,PG-13,2005
22,Inside Man,7.7,R,2006
22,Superbad,7.8,R,2007
22,Slumdog Millionaire,8.3,R,2009
22,Salt,6.5,PG-13,2010
22,Silver Linings Playbook,7.9,R,2012
22,The Wolverine,6.9,PG-13,2013
22,Into the Woods,6.1,PG,2014
22,Daddy's Home,6.2,PG-13,2015
22,Cars 3,7.0,G,2017
22,The Meg,6.0,PG-13,2018
22,Wonder Park,5.7,PG,2019
23,Arachnophobia,6.2,PG-13,1990
23,Bugsy,6.8,R,1991
23,HouseSitter,5.7,PG,1992
23,Beethoven's 2nd,4.3,PG,1993
23,Angels in the Outfield,5.6,PG,1994
23,Heat,8.3,R,1995
23,Beavis and Butt-Head Do America,6.6,PG-13,1996
23,In & Out,6.1,PG-13,1997
23,The Wedding Singer,6.8,PG-13,1998
23,Inspector Gadget,3.9,PG,1999
23,"Me, Myself & Irene",6.3,R,2000
23,Cats & Dogs,5.2,PG,2001
23,Scary Movie 3,5.4,PG-13,2003
23,The Princess Diaries 2: Royal Engagement,5.3,G,2004
23,Saw II,6.7,R,2005
23,The Santa Clause 3: The Escape Clause,4.1,G,2006
23,The Mummy: Tomb of the Dragon Emperor,5.1,PG-13,2008
23,A Christmas Carol,6.8,PG,2009
23,Rango,7.5,PG,2011
23,Anchorman 2: The Legend Continues,6.6,R,2013
23,The Peanuts Movie,7.2,G,2015
23,The Legend of Tarzan,6.4,PG-13,2016
23,War for the Planet of the Apes,7.8,PG-13,2017
23,Ocean's 8,6.3,PG-13,2018
23,A Dog's Way Home,6.5,,2019
24,Awakenings,7.6,PG-13,1990
24,New Jack City,6.2,R,1991
24,Death Becomes Her,6.0,PG-13,1992
24,Little Women,7.1,PG,1994
24,Waiting to Exhale,5.0,R,1995
